id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
5922,1405,Amex,Credit,343577155217599,07/2013,751,YES,2,$12400,12/2008,2010,No
5039,1405,Visa,Debit,4563222610324202,11/2022,673,YES,1,$30314,10/2005,2007,No
2578,1405,Mastercard,Debit,5599596861279013,11/2020,190,YES,1,$16317,04/2008,2010,No
4844,1405,Visa,Debit,4700587500082036,01/2023,458,YES,1,$26033,09/2012,2012,No
5420,1405,Visa,Credit,4668774755047551,04/2023,733,NO,1,$11600,11/2004,2008,No
172,1284,Mastercard,Debit,5750484233286684,06/2023,222,YES,2,$9789,01/2008,2009,No
6066,1284,Amex,Credit,358690297708537,03/2018,877,YES,2,$10800,12/2012,2012,No
3180,31,Mastercard,Debit,5325590478347304,04/2020,663,YES,2,$25702,05/2016,2016,No
3622,31,Mastercard,Debit,5418724960148500,09/2019,758,YES,1,$15435,06/2017,2017,No
5594,31,Amex,Credit,314393148415045,12/2023,772,YES,2,$11500,11/2010,2010,No
